https://www.michiganlottery.com/resources/number-tools?SELECTED_TOOL=PAST_RESULTS&SELECTED_GAME=6
"Draw Date","Winning Numbers","Drawing Type"
"10/09/2021","1,18,21,25,36,40","REGULAR DRAWING"
"10/09/2021","4,11,18,36,39,45","DOUBLE PLAY DRAWING"
"10/06/2021","14,17,25,26,34,43","REGULAR DRAWING"
"10/06/2021","11,14,26,35,37,44","DOUBLE PLAY DRAWING"
"10/02/2021","2,31,37,42,44,47","REGULAR DRAWING"
"10/02/2021","8,14,29,32,34,46","DOUBLE PLAY DRAWING"
"09/29/2021","4,18,28,33,38,46","REGULAR DRAWING"
"09/29/2021","1,3,10,24,25,40","DOUBLE PLAY DRAWING"
"09/25/2021","7,12,22,24,30,37","REGULAR DRAWING"
"09/25/2021","3,8,16,19,25,43","DOUBLE PLAY DRAWING"
"09/22/2021","18,19,26,28,38,42","REGULAR DRAWING"
"09/22/2021","15,17,21,35,40,41","DOUBLE PLAY DRAWING"
"09/18/2021","11,14,19,40,41,46","REGULAR DRAWING"
"09/18/2021","3,11,12,15,38,39","DOUBLE PLAY DRAWING"
"09/15/2021","3,17,32,37,38,43","REGULAR DRAWING"
"09/15/2021","5,6,12,13,15,43","DOUBLE PLAY DRAWING"
"09/11/2021","3,5,6,13,14,30","REGULAR DRAWING"
"09/11/2021","4,13,28,39,42,47","DOUBLE PLAY DRAWING"
"09/08/2021","4,18,22,29,37,40","REGULAR DRAWING"
"09/08/2021","2,17,31,36,43,47","DOUBLE PLAY DRAWING"
"09/04/2021","2,11,17,29,37,39","REGULAR DRAWING"
"09/04/2021","1,11,14,17,34,42","DOUBLE PLAY DRAWING"
"09/01/2021","6,22,33,37,42,43","REGULAR DRAWING"
"09/01/2021","5,6,15,26,36,47","DOUBLE PLAY DRAWING"
"08/28/2021","2,4,23,26,27,46","REGULAR DRAWING"
"08/28/2021","3,5,28,33,34,44","DOUBLE PLAY DRAWING"
"08/25/2021","25,29,31,32,36,39","REGULAR DRAWING"
"08/25/2021","13,15,28,31,36,38","DOUBLE PLAY DRAWING"
"08/21/2021","11,22,24,39,40,41","REGULAR DRAWING"
"08/21/2021","3,5,21,25,33,45","DOUBLE PLAY DRAWING"
"08/18/2021","5,6,11,36,40,47","REGULAR DRAWING"
"08/18/2021","3,21,26,28,39,45","DOUBLE PLAY DRAWING"
"08/14/2021","7,10,23,39,42,44","REGULAR DRAWING"
"08/14/2021","7,13,18,22,36,42","DOUBLE PLAY DRAWING"
"08/11/2021","11,12,17,28,39,43","REGULAR DRAWING"
"08/11/2021","4,5,10,20,37,38","DOUBLE PLAY DRAWING"
"08/07/2021","1,10,24,25,42,44","REGULAR DRAWING"
"08/07/2021","9,20,28,32,40,47","DOUBLE PLAY DRAWING"
"08/04/2021","4,25,30,40,41,46","REGULAR DRAWING"
"08/04/2021","3,9,25,30,37,38","DOUBLE PLAY DRAWING"
"07/31/2021","3,5,10,20,28,31","REGULAR DRAWING"
"07/31/2021","3,21,41,42,43,45","DOUBLE PLAY DRAWING"
"07/28/2021","5,6,7,31,38,42","REGULAR DRAWING"
"07/28/2021","17,18,20,31,38,44","DOUBLE PLAY DRAWING"
"07/24/2021","3,11,23,39,43,45","REGULAR DRAWING"
"07/24/2021","4,7,12,14,20,27","DOUBLE PLAY DRAWING"
"07/21/2021","3,12,13,33,45,46","REGULAR DRAWING"
"07/21/2021","3,16,21,22,31,33","DOUBLE PLAY DRAWING"
"07/17/2021","12,17,18,20,25,35","REGULAR DRAWING"
"07/17/2021","2,10,20,34,36,40","DOUBLE PLAY DRAWING"
"07/14/2021","1,4,17,24,31,40","REGULAR DRAWING"
"07/14/2021","5,16,23,24,28,43","DOUBLE PLAY DRAWING"
"07/10/2021","8,16,17,26,28,47","REGULAR DRAWING"
"07/10/2021","1,20,21,22,27,35","DOUBLE PLAY DRAWING"
"07/07/2021","9,22,24,26,33,38","REGULAR DRAWING"
"07/07/2021","8,24,29,36,41,45","DOUBLE PLAY DRAWING"
"07/03/2021","5,7,25,34,35,47","REGULAR DRAWING"
"07/03/2021","8,17,27,40,44,45","DOUBLE PLAY DRAWING"
"06/30/2021","2,8,22,25,31,40","REGULAR DRAWING"
"06/30/2021","9,12,13,20,29,45","DOUBLE PLAY DRAWING"
"06/26/2021","2,8,18,25,43,45","REGULAR DRAWING"
"06/26/2021","2,17,28,37,38,42","DOUBLE PLAY DRAWING"
"06/23/2021","10,13,14,20,28,33","REGULAR DRAWING"
"06/23/2021","3,16,37,41,45,46","DOUBLE PLAY DRAWING"
"06/19/2021","19,20,24,32,41,45","REGULAR DRAWING"
"06/19/2021","2,8,16,28,35,41","DOUBLE PLAY DRAWING"
"06/16/2021","4,19,28,31,33,46","REGULAR DRAWING"
"06/16/2021","6,16,21,41,42,45","DOUBLE PLAY DRAWING"
"06/12/2021","1,5,8,17,24,35","REGULAR DRAWING"
"06/12/2021","6,10,28,37,38,44","DOUBLE PLAY DRAWING"
"06/09/2021","22,29,33,38,41,45","REGULAR DRAWING"
"06/09/2021","1,5,20,22,28,39","DOUBLE PLAY DRAWING"
"06/05/2021","4,7,11,29,31,38","REGULAR DRAWING"
"06/05/2021","1,8,9,23,32,40","DOUBLE PLAY DRAWING"
"06/02/2021","5,6,21,27,29,45","REGULAR DRAWING"
"06/02/2021","1,8,12,19,21,36","DOUBLE PLAY DRAWING"
"05/29/2021","4,7,21,40,45,47","REGULAR DRAWING"
"05/29/2021","4,5,6,25,45,46","DOUBLE PLAY DRAWING"
"05/26/2021","5,8,11,31,43,44","REGULAR DRAWING"
"05/26/2021","7,10,18,19,20,35","DOUBLE PLAY DRAWING"
"05/22/2021","16,17,25,37,42,46","REGULAR DRAWING"
"05/22/2021","8,15,17,18,23,33","DOUBLE PLAY DRAWING"
